p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,pose
2558,1744,91,952,1564,1277,392,369,672,485,275,733,1
2505,1838,211,1035,1583,1286,319,371,619,495,260,760,1
2480,1839,237,1101,1586,1276,310,369,635,483,257,766,1
2517,1895,175,1152,1597,1272,315,367,667,478,270,768,1
2513,1870,272,1047,1602,1248,380,363,705,475,302,763,1
2521,1881,284,1038,1598,1251,392,365,729,473,303,768,1
2503,1927,295,1235,1595,1257,315,364,673,467,273,770,1
2493,1929,291,1215,1600,1258,314,365,681,473,290,782,1
2490,1911,292,1264,1598,1266,313,365,693,475,301,777,1
2499,1927,272,1267,1601,1272,313,366,695,477,308,777,1
2502,1910,285,1291,1604,1273,314,368,708,481,310,778,1
2479,1937,245,1328,1607,1270,312,367,713,483,308,784,1
2517,1964,218,1355,1603,1277,316,369,712,483,316,790,1
2491,1929,208,1333,1604,1274,314,368,717,482,315,792,1
2497,1923,143,1296,1609,1273,318,367,719,499,317,794,1
2489,1904,161,1339,1607,1274,315,366,716,500,321,796,1
2501,1910,178,1359,1614,1282,315,367,708,484,317,798,1
2512,1937,173,1347,1608,1286,320,368,688,481,318,795,1
2525,1961,210,1344,1611,1285,320,369,685,482,323,798,1
2519,1958,195,1344,1615,1282,319,368,683,482,327,800,1
2517,1941,159,1376,1615,1286,318,368,685,484,330,806,1
2512,1918,172,1391,1616,1287,318,369,695,480,331,806,1
2512,1919,173,1353,1614,1285,319,368,694,484,335,807,1
2507,1933,177,1391,1614,1281,323,367,694,485,331,806,1
2528,1966,183,1397,1610,1284,325,366,695,483,332,807,1
2533,1978,197,1376,1618,1294,326,367,694,482,331,812,1
2515,1954,201,1375,1615,1295,324,369,695,485,334,807,1
2521,1938,187,1376,1618,1295,325,369,706,487,333,808,1
2515,1940,181,1358,1618,1296,325,371,703,501,338,816,1
2519,1951,206,1337,1618,1297,323,370,705,501,337,815,1
2513,1967,226,1222,1612,1293,323,369,702,484,336,813,1
2544,1991,299,832,1626,1294,323,370,731,494,342,821,1
2543,1953,0,1058,1622,1292,346,378,743,503,300,784,1
2529,1697,0,993,1603,1269,279,404,740,498,263,691,1
2518,1712,48,1139,1614,1297,287,386,755,505,287,736,1
2511,1738,229,1021,1611,1280,291,385,746,506,276,739,1
2534,1808,253,976,1615,1299,296,388,739,506,298,759,1
2528,1824,240,1013,1618,1297,297,384,737,511,301,764,1
2533,1631,17,783,1613,1306,312,388,748,520,280,768,1
2559,1687,0,917,1620,1314,314,391,756,529,295,779,1
2534,1783,138,1121,1621,1307,308,388,751,538,306,796,1
2549,1777,254,1223,1623,1303,302,386,754,540,318,799,1
2556,1722,187,882,1627,1320,306,388,752,540,317,806,1
2528,1725,23,1263,1594,1308,298,391,619,532,311,826,1
