index,p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11
1689872877352,2306,277,0,0,1384,1745,295,333,920,265,914,0
1689872877852,2332,480,0,0,1368,1746,266,333,917,231,885,0
1689872878352,2347,681,0,0,1332,1738,259,333,919,245,848,0
1689872878852,2346,602,0,0,1348,1742,262,332,911,241,719,0
1689872879352,2337,464,0,0,1348,1745,260,332,917,231,734,0
1689872879852,2339,403,0,0,1359,1749,263,334,915,214,756,0
1689872880352,2349,370,0,0,1367,1756,266,335,922,230,749,0
1689872880852,2352,711,0,0,1355,1753,263,334,921,223,741,0
1689872881352,2352,688,0,0,1356,1758,264,336,923,222,737,0
1689872881852,2342,401,0,0,1363,1761,262,336,927,223,720,0
1689872882352,2323,432,0,0,1361,1761,265,337,920,220,710,0
1689872882852,2330,448,0,0,1362,1761,265,362,919,213,728,0
1689872883352,2342,713,0,0,1362,1760,264,356,916,230,711,0
1689872883852,2336,649,0,0,1315,1760,241,364,897,222,703,0
1689872884352,2334,903,0,106,1210,1692,211,330,846,217,637,0
1689872884852,2351,855,0,21,1260,1695,188,329,825,223,667,0
1689872885352,2318,437,0,35,1213,1709,192,333,745,216,682,0
1689872885852,2525,338,0,121,1129,1492,202,298,679,212,850,0
1689872886352,2646,546,0,217,1168,1254,186,262,755,220,809,0
1689872886852,2578,503,0,111,1195,1299,224,228,520,231,589,0
1689872887352,2523,653,0,205,1254,1384,203,260,596,223,652,0
1689872887852,2495,864,0,0,1255,1406,178,270,636,222,686,0
1689872888352,2452,818,0,0,1161,1442,172,270,573,223,683,0
1689872888852,2454,640,0,0,1173,1467,172,275,569,220,670,0
1689872889352,2482,754,0,0,1174,1485,183,283,654,227,684,0
1689872889852,2481,719,0,0,1185,1497,183,286,690,230,704,0
1689872890352,2458,577,0,0,1188,1501,169,287,706,235,719,0
1689872890852,2453,506,0,0,1190,1508,162,286,726,225,722,0
1689872891352,2352,320,0,0,1024,1416,209,247,675,222,752,0
1689872891852,2055,34,0,0,1064,1463,266,302,894,225,1025,0
1689872892352,2409,76,0,0,1113,1370,187,316,584,258,1320,0
1689872892852,2415,0,0,0,987,1427,174,321,781,245,1322,0
1689872893352,2442,33,0,0,1100,1433,179,329,851,253,1248,0
1689872893852,2381,13,0,0,1120,1498,130,337,637,290,1280,0
1689872894352,2379,47,0,0,1118,1513,131,340,744,295,1307,0
1689872894852,2377,50,0,0,1122,1526,132,339,775,267,1329,0
1689872895352,2373,48,0,0,1127,1533,134,343,789,270,1344,0
1689872895852,2416,170,0,0,1155,1536,130,342,813,297,1345,0
1689872896352,2397,48,0,0,1167,1544,131,344,830,288,1352,0
1689872896852,2394,0,0,0,1175,1546,134,345,843,316,1357,0
1689872897352,2394,0,0,0,1187,1558,134,344,853,314,1360,0
1689872897852,2398,0,0,0,1189,1561,133,344,859,325,1361,0
1689872898352,2398,0,0,0,1189,1569,134,347,873,337,1361,0
1689872898852,2406,14,0,0,1197,1576,134,348,879,337,1375,0
1689872899352,2418,197,0,0,1190,1584,135,349,891,358,1366,0
1689872899852,2414,51,0,0,1171,1582,136,349,896,338,1369,0
1689872900352,2402,0,0,0,1175,1587,138,350,902,336,1375,0
1689872900852,2374,0,0,0,1174,1587,138,350,901,306,1389,0
1689872901352,2416,2,0,0,1187,1599,139,351,912,325,1379,0
1689872901852,2425,167,0,0,1177,1600,138,354,917,314,1377,0
1689872902352,2430,44,0,0,1180,1605,138,355,925,310,1389,0
1689872902852,2421,0,0,0,1183,1605,140,356,930,301,1387,0
1689872903352,2415,0,0,0,1186,1609,140,357,929,288,1391,0
1689872903852,2397,0,0,0,1180,1612,141,356,933,270,1392,0
1689872904352,2405,31,0,0,1179,1611,140,355,938,268,1405,0
1689872904852,2439,205,0,0,1178,1614,140,354,940,258,1398,0
1689872905352,2433,75,0,0,1189,1617,141,357,942,246,1400,0
1689872905852,2422,0,0,0,1190,1621,142,357,942,236,1401,0
1689872906352,2416,0,0,0,1193,1623,144,357,944,242,1409,0
1689872906852,2426,9,0,0,1203,1624,143,358,949,226,1402,0
1689872907352,2435,145,0,0,1205,1627,143,358,957,217,1411,0
1689872907852,2442,196,0,0,1201,1633,144,358,959,217,1410,0
1689872908352,2426,0,0,0,1199,1628,144,357,959,214,1418,0
1689872908852,2418,0,0,0,1203,1630,143,357,963,215,1412,0
1689872909352,2419,0,0,0,1204,1634,143,357,961,212,1414,0
1689872909852,2423,0,0,0,1209,1637,143,358,967,216,1416,0
1689872910352,2432,17,0,0,1215,1642,144,359,965,219,1413,0
1689872910852,2447,221,0,0,1213,1643,145,360,974,223,1407,0
1689872911352,2445,137,0,0,1233,1648,149,362,976,225,1424,0
1689872911852,2442,29,0,0,1232,1643,149,360,977,225,1409,0
1689872912352,2415,0,0,0,1228,1648,149,360,980,224,1424,0
1689872912852,2413,0,0,0,1227,1643,150,361,978,228,1423,0
1689872913352,2432,212,0,0,1230,1652,149,363,977,228,1429,0
1689872913852,2451,171,0,0,1228,1652,150,361,982,228,1425,0
1689872914352,2438,39,0,0,1225,1659,150,361,977,230,1421,0
1689872914852,2429,0,0,0,1240,1656,150,363,980,230,1424,0
1689872915352,2430,0,0,0,1234,1661,151,364,983,235,1430,0
1689872915852,2457,167,0,0,1244,1664,151,364,988,234,1426,0
1689872916352,2469,257,0,0,1243,1666,151,364,989,234,1426,0
1689872916852,2433,0,0,0,1232,1661,151,364,985,231,1426,0
1689872917352,2427,0,0,0,1234,1657,152,362,990,234,1430,0
1689872917852,2416,0,0,0,1238,1658,152,361,986,231,1431,0
1689872918352,2448,49,0,0,1249,1666,152,363,991,234,1427,0
1689872918852,2471,258,0,0,1262,1667,151,362,992,233,1417,0
1689872919352,2450,31,0,0,1261,1672,168,363,997,231,1424,0
1689872919852,2446,0,0,0,1248,1670,169,366,1000,231,1431,0
1689872920352,2419,0,0,0,1248,1667,168,363,1002,229,1436,0
1689872920852,2427,0,0,0,1254,1672,168,363,1002,229,1434,0
1689872921352,2455,171,0,0,1270,1668,169,364,1005,231,1431,0
1689872921852,2448,129,0,0,1259,1669,169,362,1003,229,1436,0
1689872922352,2459,0,0,0,1253,1670,168,363,1003,225,1440,0
1689872922852,2446,0,0,0,1252,1675,169,363,1005,227,1432,0
1689872923352,2447,0,0,0,1254,1671,169,365,1009,227,1433,0
1689872923852,2461,0,0,0,1255,1678,170,367,1011,226,1432,0
1689872924352,2484,208,0,0,1260,1679,168,369,1013,225,1441,0
1689872924852,2475,31,0,0,1259,1681,170,368,1017,221,1435,0
1689872925352,2443,0,0,0,1244,1675,170,369,1018,222,1438,0
