p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,pose
0,0,1957,1387,2248,2829,144,3757,618,294,168,0,1
0,0,1711,1247,2190,2862,131,3783,645,308,166,0,1
0,0,1842,1367,2233,2839,133,3759,649,314,166,0,1
0,0,1964,1584,2247,2883,132,3857,649,220,194,0,1
0,0,1904,1200,1891,2811,190,3766,673,227,103,0,1
0,0,1860,478,1907,2810,186,3865,477,225,77,0,1
0,0,1882,1073,2025,2854,136,3861,522,244,133,0,1
0,0,1895,1307,2037,2855,144,3876,581,245,150,0,1
0,0,1939,1344,2052,2855,145,3867,592,248,145,0,1
0,0,1966,1276,2062,2846,150,3866,618,251,125,0,1
0,0,2000,1199,2074,2845,149,3849,643,263,121,0,1
0,0,2018,1218,2075,2845,149,3873,650,263,134,0,1
0,0,2071,1054,2080,2851,143,3836,663,273,140,0,1
0,0,2087,1085,2075,2845,144,3780,642,277,125,0,1
0,0,2071,1059,2089,2849,150,3833,662,277,139,0,1
0,0,2097,913,2090,2852,150,3831,664,285,150,0,1
0,0,2115,966,2100,2854,153,3807,671,287,158,0,1
0,0,2127,1063,2089,2843,167,3744,655,273,146,0,1
0,0,2117,1066,2113,2851,167,3752,661,272,148,0,1
0,0,2128,990,2111,2842,169,3750,659,268,152,0,1
0,0,2134,1001,2117,2844,169,3734,666,267,152,0,1
0,0,2148,1030,2130,2817,171,324,680,270,148,0,1
0,0,2159,1017,2141,2822,172,369,696,269,158,0,1
0,0,2146,1023,2145,2820,171,1022,694,261,159,0,1
0,0,2160,1040,2152,2828,172,785,687,258,158,0,1
0,0,2117,928,2152,2821,171,799,688,255,161,0,1
0,0,2064,835,2159,2822,171,1056,691,258,162,0,1
0,0,2071,955,2154,2817,170,1216,690,261,157,0,1
0,0,2085,1041,2159,2821,171,312,684,266,165,0,1
0,0,2114,1040,2167,2833,172,1955,685,270,160,0,1
0,0,2038,854,2157,2824,171,366,670,270,159,0,1
0,0,2053,834,2161,2823,172,1719,692,278,163,0,1
0,0,2078,1067,2168,2829,172,363,698,280,164,0,1
0,0,2106,1076,2167,2822,170,1595,708,278,158,0,1
0,0,2124,1045,2169,2822,172,2638,712,277,158,0,1
0,0,2139,1072,2175,2839,173,1523,703,273,156,0,1
0,0,2143,1046,2146,2831,174,1374,651,276,137,0,1
0,0,2147,1077,2152,2842,174,1342,657,280,165,0,1
0,0,2128,1056,2159,2836,173,1385,643,277,170,0,1
0,0,2129,1136,2150,2843,172,1383,606,272,168,0,1
0,0,2187,1012,2176,2844,174,739,604,273,172,0,1
0,0,2174,1249,2147,2853,160,365,595,238,158,0,1
0,0,2239,1106,2145,2846,153,801,597,256,176,0,1
0,0,2186,740,2152,2854,166,3763,603,259,159,0,1
0,0,2097,877,2173,2846,163,856,592,267,159,0,1
0,0,2130,944,2181,2850,168,732,615,272,142,0,1
0,0,2177,902,2186,2828,179,251,635,271,158,0,1
0,0,2171,880,2201,2822,194,252,647,265,158,0,1
0,0,2195,919,2198,2826,196,245,657,269,166,0,1
0,0,2203,921,2200,2831,196,248,654,273,173,0,1
0,0,2235,818,2200,2812,195,266,661,290,176,0,1
0,0,2309,943,2201,2813,193,247,659,294,167,0,1
0,0,2326,865,2189,2778,195,245,676,293,172,0,1
0,0,2335,962,2199,2795,197,247,692,300,180,0,1
0,0,2318,906,2194,2793,198,245,695,301,181,0,1
0,0,2308,987,2202,2809,196,248,681,305,184,0,1
0,0,2270,1086,2200,2817,199,245,667,299,183,0,1
0,0,2258,1105,2202,2821,200,246,670,302,185,0,1
0,0,2250,1138,2208,2822,201,246,673,305,181,0,1
0,0,2091,752,2205,2815,204,246,694,303,188,0,1
0,0,2174,1008,2205,2813,203,244,695,305,186,0,1
0,0,2240,1077,2213,2820,204,244,695,305,186,0,1
0,0,2251,1104,2207,2815,204,240,693,307,180,0,1
0,0,2256,1086,2207,2810,205,236,695,307,186,0,1
0,0,2263,979,2211,2811,204,234,698,310,188,0,1
0,0,2256,1067,2220,2825,206,236,683,304,188,0,1
0,0,2202,1133,2222,2827,205,233,670,309,179,0,1
0,0,2175,1130,2227,2829,205,231,665,305,169,0,1
0,0,2176,1162,2225,2825,205,226,676,312,182,0,1
0,0,2183,1157,2229,2832,205,225,684,314,179,0,1
0,0,2193,1172,2223,2828,204,223,678,310,188,0,1
0,0,2211,1168,2231,2835,205,225,674,308,186,0,1
0,0,2198,1177,2227,2828,204,223,684,303,183,0,1
0,0,2217,1136,2234,2832,204,223,681,298,185,0,1
0,0,2213,1123,2228,2825,204,222,693,303,185,0,1
0,0,2181,871,2238,2834,204,223,692,305,185,0,1
0,0,2195,922,2234,2829,203,226,708,312,193,0,1
0,0,2227,1015,2237,2837,204,226,705,317,194,0,1
0,0,2211,1033,2233,2832,204,227,690,312,193,0,1
0,0,2222,1047,2242,2839,205,230,702,313,190,0,1
0,0,2210,1046,2241,2833,205,232,703,317,182,0,1
0,0,2222,1057,2243,2838,205,235,694,314,181,0,1
0,0,2222,1067,2241,2837,206,235,688,313,179,0,1
0,0,2222,1043,2239,2840,206,237,688,316,178,0,1
0,0,2213,1054,2231,2833,206,239,688,320,183,0,1
0,0,2227,1042,2191,2841,201,238,607,301,118,0,1
0,0,2153,0,2225,2856,193,3781,664,297,113,0,1
0,0,2162,1069,2195,2845,167,3786,657,197,115,0,1
0,0,2273,477,2320,2704,187,228,600,287,108,0,1
0,0,2238,464,2302,2691,159,1942,566,310,134,0,1
0,0,2270,0,1883,2358,194,225,619,196,150,0,1
0,0,2239,0,1897,2446,192,3779,764,210,346,0,1
0,0,2339,31,2345,2510,113,913,749,241,305,0,1
0,0,2381,944,2303,2555,114,3725,737,270,330,0,1
0,0,2389,775,2400,2482,62,3596,785,289,347,0,1
0,0,2371,561,2442,2539,71,3766,826,301,373,0,1
0,0,2368,731,2449,2568,91,3762,846,309,382,0,1
0,0,2394,655,2467,2569,95,3796,851,320,368,0,1
0,0,2404,636,2462,2578,99,3795,865,325,392,0,1
0,0,2357,634,2470,2594,101,3784,869,331,403,0,1
0,0,2266,699,2470,2605,107,3784,890,254,321,0,1
0,0,2302,730,2465,2600,88,3784,880,259,340,0,1
0,0,2035,1710,2419,2658,59,3765,619,292,261,0,1
0,0,2047,1709,2387,2551,109,202,719,223,281,0,1
0,0,2061,1168,2408,2524,95,204,765,245,341,0,1
0,0,2061,1142,2433,2533,101,211,800,251,363,0,1
0,0,2031,1287,2417,2555,112,211,822,248,370,0,1
0,0,2064,1159,2433,2565,103,214,839,256,386,0,1
0,0,2005,944,2435,2559,106,215,840,256,385,0,1
0,0,1966,1041,2427,2555,112,218,852,265,391,0,1
0,0,1990,1010,2433,2563,118,218,864,268,394,0,1
0,0,1981,1083,2435,2570,119,219,871,270,383,0,1
0,0,2004,933,2446,2571,119,219,876,272,386,0,1
0,0,2033,1022,2450,2581,120,260,879,269,379,0,1
0,0,1952,992,2441,2570,121,220,877,270,383,0,1
0,0,1921,885,2450,2577,121,219,886,270,392,0,1
0,0,2018,1066,2452,2577,121,283,887,277,401,0,1
0,0,2022,1129,2452,2576,123,322,899,280,407,0,1
0,0,2026,1138,2452,2577,120,464,900,281,405,0,1
0,0,2010,877,2442,2561,119,448,899,287,418,0,1
0,0,2032,987,2446,2569,116,425,903,291,414,0,1
0,0,1857,1375,2394,2553,97,304,858,287,397,0,1
0,0,2000,1263,2421,2554,89,167,882,289,370,0,1
0,0,1995,1372,2418,2550,92,165,884,293,348,0,1
0,0,2001,1281,2433,2551,96,149,896,302,357,0,1
0,0,2014,1311,2435,2554,104,140,892,295,360,0,1
0,0,2006,1303,2436,2557,101,131,903,302,367,0,1
0,0,2021,1321,2445,2557,105,123,906,303,359,0,1
0,0,2016,1324,2440,2555,125,113,909,302,362,0,1
0,0,2010,1358,2442,2559,129,106,909,301,353,0,1
0,0,2014,1360,2441,2556,113,99,919,296,356,0,1
0,0,2029,1367,2451,2567,123,96,924,297,359,0,1
0,0,2031,1373,2449,2562,98,90,923,294,383,0,1
0,0,2006,1247,2460,2566,97,85,924,293,383,0,1
0,0,1938,1162,2462,2567,104,85,925,298,391,0,1
139,16,1446,847,2433,2533,91,80,922,298,387,0,1
0,0,1818,1157,2428,2488,93,80,931,296,391,0,1
0,0,1919,1287,2431,2495,94,66,927,295,393,0,1
0,0,1982,1218,2438,2502,97,73,934,294,380,0,1
0,0,1979,1161,2445,2511,100,60,936,294,386,0,1
0,0,1984,1136,2453,2522,100,57,943,295,386,0,1
0,0,1997,1139,2458,2521,76,52,947,294,394,0,1
0,0,2001,1154,2461,2526,89,38,950,296,395,0,1
0,0,1984,1127,2465,2528,104,43,949,298,383,0,1
0,0,1995,1003,2462,2525,96,42,956,299,397,0,1
0,0,2018,911,2385,2503,74,3849,904,307,400,0,1
0,0,2259,495,2296,2384,102,3878,900,202,323,0,1
0,0,1875,1318,1966,2786,210,3939,671,312,338,0,1
49,0,1549,1950,2236,2175,111,3743,637,424,268,0,1
279,0,1360,2039,2142,1665,102,46,759,353,278,0,1
294,1,1641,2091,2189,1755,135,62,818,378,303,0,1
470,0,1664,2132,2182,1747,136,82,847,379,317,0,1
524,0,1666,2047,2172,1704,138,98,870,385,352,0,1
576,69,1667,1951,2175,1694,138,114,886,392,341,0,1
635,128,1690,1940,2189,1739,141,131,895,399,359,0,1
593,105,1697,1969,2178,1739,140,148,904,410,349,0,1
606,11,1729,1974,2186,1742,142,164,918,415,340,0,1
619,51,1680,2047,2159,1739,136,178,919,418,322,0,1
669,81,1702,2059,2158,1745,130,191,922,426,352,0,1
694,105,1715,2086,2169,1768,138,199,924,434,362,0,1
757,141,1696,2017,2178,1768,140,207,931,430,368,0,1
750,144,1738,2087,2178,1786,139,216,940,433,375,0,1
752,135,1729,2079,2187,1784,140,216,948,439,370,0,1
773,176,1667,2086,2195,1795,141,212,947,444,396,0,1
777,191,1665,2103,2206,1806,141,214,948,449,401,0,1
781,225,1678,2128,2217,1820,141,212,958,453,398,0,1
861,272,1573,2090,2207,1815,140,201,956,474,407,0,1
800,274,1638,2122,2223,1825,140,199,965,485,416,0,1
749,176,1440,1938,2227,1835,130,193,945,488,415,0,1
953,498,1556,1776,2134,1798,132,181,889,488,402,0,1
1104,519,1669,2043,2147,1668,136,169,927,468,365,0,1
1139,621,1616,2058,2189,1714,129,156,927,472,386,0,1
1159,637,1595,2105,2207,1733,122,144,927,475,392,0,1
1188,640,1610,2126,2226,1736,130,131,928,475,392,0,1
1184,596,1550,2160,2220,1760,128,120,934,484,392,0,1
1153,592,1535,2161,2219,1763,141,100,932,485,384,0,1
1081,560,1580,2176,2254,1791,145,90,939,492,402,0,1
1201,596,1569,2158,2257,1790,145,80,945,494,406,0,1
1170,641,1568,2185,2265,1798,148,72,950,494,407,0,1
1159,610,1485,2101,2269,1810,143,64,944,495,408,0,1
