p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,pose
237,144,3139,974,3167,2694,9,253,805,600,0,902,1
164,17,3119,1182,3163,2676,4,231,826,607,0,909,1
327,541,3138,1291,3168,2697,12,298,868,596,0,908,1
336,237,3141,974,3165,2696,11,276,851,600,0,898,1
298,762,3184,1075,3161,2679,16,332,881,623,0,946,1
326,675,3147,1298,3161,2681,16,316,878,612,0,933,1
179,1621,3131,506,3040,2649,0,368,902,645,0,956,1
310,467,3184,353,3163,2688,15,342,891,628,0,952,1
26,542,3069,586,3025,2721,0,393,866,622,0,801,1
0,270,2992,769,2984,2733,0,383,847,617,0,765,1
157,0,3120,240,3053,2696,0,414,846,613,0,863,1
87,208,3106,1113,3025,2717,0,401,911,668,0,858,1
502,1139,3121,1472,3015,2737,0,430,917,614,0,736,1
300,239,3151,212,3080,2716,0,426,891,636,0,873,1
629,1402,3242,1472,3088,2693,6,433,940,638,0,857,1
626,1269,3234,1711,3055,2674,0,429,918,632,0,836,1
778,1099,3227,1676,3096,2706,5,452,956,626,0,863,1
662,1327,3243,1760,3086,2702,3,444,953,629,0,865,1
523,1563,3223,592,3101,2661,15,465,947,605,0,775,1
827,1218,3248,1419,3101,2698,10,457,969,619,0,868,1
1126,1218,3252,781,2665,2408,0,455,695,790,0,1221,1
1197,961,2977,991,2362,2758,0,465,792,713,0,1073,1
890,942,3322,1509,2883,2409,3,470,837,774,0,1293,1
1123,1235,3184,1219,2840,2508,3,467,659,801,0,1267,1
1056,1323,3285,1505,2859,2445,5,481,894,791,0,1329,1
1001,1413,3261,1459,2845,2442,2,477,874,802,0,1317,1
1073,1146,3345,879,2814,2490,4,483,848,742,0,1312,1
1072,991,3301,1575,2792,2491,0,484,815,730,0,1323,1
1298,1552,3286,1482,2905,2501,0,822,864,830,0,1217,1
618,1179,3408,433,2906,2389,0,486,843,810,0,1312,1
1634,1559,3248,1321,2883,2585,1,554,752,797,0,1415,1
1408,1621,3302,1698,2893,2483,0,729,765,793,0,1368,1
1371,1579,3376,1589,2884,2530,2,467,921,833,0,1451,1
1401,1497,3389,1488,2863,2504,0,492,829,769,0,1394,1
1681,1703,3371,1122,2627,2550,0,422,657,779,0,1334,1
1474,1602,3407,1090,2890,2542,4,440,912,845,0,1458,1
1151,2047,3350,1648,2294,2429,0,379,794,900,0,1380,1
1808,2218,3281,1213,2659,2497,0,390,808,806,0,1344,1
611,1595,3410,649,2914,2423,37,327,911,761,0,1342,1
346,1231,3408,1663,2667,2515,0,357,817,880,0,1378,1
659,1827,3378,1075,3042,2320,49,289,892,734,0,1390,1
845,1859,3393,1124,3048,2378,68,313,844,759,0,1271,1
701,1642,3475,108,2990,2454,34,221,904,759,0,1392,1
932,1733,3438,1251,2929,2439,20,268,797,725,1,1447,1
838,1771,3390,1328,3042,2457,29,178,851,801,0,1421,1
503,1667,3408,784,3089,2466,18,201,907,767,0,1407,1
1015,1723,3450,1134,3030,2471,58,130,909,783,0,1337,1
977,1746,3461,633,3042,2477,37,153,811,752,0,1359,1
1196,1746,3463,950,2903,2544,12,84,829,703,0,1470,1
1074,1730,3452,1442,2907,2531,44,114,826,846,0,1425,1
1475,1830,3446,1200,3003,2512,35,72,940,845,0,1417,1
1309,1983,3398,1099,2997,2526,54,78,938,753,0,1356,1
1377,2142,3460,1359,2930,2441,34,77,895,777,0,1277,1
1550,1920,3449,1229,2887,2571,0,68,829,854,0,1473,1
1713,2213,3430,878,2881,2562,12,91,850,672,0,1388,1
1718,2241,3399,928,2946,2548,34,84,822,846,0,1291,1
1346,1861,3497,624,2944,2538,43,104,924,811,0,1407,1
1459,2063,3503,0,2996,2512,43,94,936,726,0,1387,1
1370,1718,3386,1010,2433,2547,0,139,672,943,0,1487,1
897,1717,3501,1055,2741,2525,0,121,645,867,0,1315,1
650,2054,3397,0,2819,2357,2,150,746,911,0,1572,1
992,1773,3372,0,2630,2401,0,143,829,960,0,1570,1
1072,1863,3353,455,2700,2536,0,171,672,910,0,1519,1
529,1870,3421,320,2805,2432,0,156,756,940,0,1562,1
1266,2039,3360,0,2798,2489,0,176,731,1004,0,1626,1
1201,1899,3357,141,2774,2541,0,176,607,994,0,1592,1
997,2087,3368,0,2850,2434,0,154,884,1027,0,1666,1
747,2002,3369,0,2813,2390,0,170,842,1002,0,1648,1
1009,1814,3381,261,2833,2546,0,364,762,1000,0,1631,1
970,2000,3360,261,2776,2482,0,354,875,1048,0,1645,1
937,2016,3418,261,2889,2554,0,194,911,995,0,1603,1
556,1936,3379,0,2868,2513,0,226,949,969,0,1627,1
924,1676,3382,185,2950,2606,48,182,1029,928,0,1505,1
837,1712,3405,320,2906,2582,0,185,865,1039,0,1601,1
1285,1746,3246,273,2970,2780,32,184,939,418,0,665,1
1247,1616,3230,135,2956,2758,23,178,882,528,0,731,1
1584,2175,3236,1159,2751,2670,0,192,950,404,0,628,1
1336,1881,3282,22,2985,2690,24,201,980,329,0,559,1
1427,2282,3312,0,3085,2642,43,230,942,214,0,155,1
251,2183,3358,0,3044,2546,41,185,835,226,0,351,1
1799,2224,3207,1141,2950,2714,0,517,740,347,0,324,1
1582,2305,3387,354,3018,2602,89,440,783,321,0,292,1
1183,1597,3326,78,3064,2756,2,238,808,384,0,370,1
1574,1871,3189,350,2962,2743,0,295,774,441,0,441,1
1466,1970,3316,878,3041,2750,0,223,892,468,0,544,1
1379,1803,3354,969,3037,2745,0,231,844,454,0,478,1
1621,2023,3221,837,2776,2694,39,549,834,473,0,471,1
723,2057,3397,291,3256,2635,133,241,433,372,0,475,1
1522,1807,3275,1281,2829,2745,0,263,972,598,0,631,1
1469,1979,3277,944,2896,2718,0,315,970,571,0,532,1
1523,1562,3342,624,2888,2738,11,325,1058,434,0,438,1
1532,1730,3325,990,2850,2748,0,242,1022,590,0,665,1
1535,1840,3312,563,2932,2691,6,246,1104,399,0,312,1
1447,1724,3380,417,2883,2692,0,257,1097,444,0,371,1
1502,1632,3239,636,2859,2777,0,262,1120,445,0,537,1
1415,1776,3181,948,2945,2735,0,255,1099,475,0,409,1
1716,1759,3265,957,2827,2777,0,274,1029,587,0,614,1
1746,1934,3159,721,2880,2807,0,274,976,571,0,523,1
464,683,3423,12,2984,2686,0,298,1145,384,0,513,1
1392,1440,3358,358,2962,2756,0,279,1140,364,0,349,1
991,1386,3319,1399,2830,2750,0,343,1036,598,0,623,1
949,1369,3361,566,2914,2731,0,320,1097,499,0,404,1
1290,1632,3395,1232,2946,2653,9,374,1159,286,0,371,1
1371,1434,3355,1262,2872,2749,0,362,1068,583,0,651,1
1415,1594,3393,1513,2924,2651,0,424,1179,475,0,541,1
1370,1667,3412,1358,2966,2635,21,405,1183,375,0,424,1
1232,1339,3405,835,2797,2681,0,847,1083,607,0,617,1
1415,1501,3393,1684,2817,2662,0,3084,1139,557,0,466,1
1267,1553,3437,805,2837,2664,0,603,1171,434,0,430,1
1263,1463,3437,658,2804,2651,0,640,1111,599,0,686,1
1200,1619,3371,1829,2937,2672,0,597,1195,408,0,401,1
1502,1808,3359,1127,2845,2666,0,600,1170,374,0,335,1
1238,1470,3186,1857,2864,2703,0,581,1121,540,0,497,1
1289,1655,3341,1787,2966,2671,0,587,1173,507,0,497,1
2003,2339,3216,1518,2834,2672,0,547,1076,473,0,412,1
1589,2170,3312,1885,2843,2654,0,568,1098,504,0,566,1
1995,1875,2947,2445,2861,2780,0,822,1148,457,0,538,1
1971,2010,3213,1999,2914,2741,0,525,1148,286,0,306,1
1649,1610,3184,2143,2859,2798,0,1021,1083,574,0,624,1
1950,1855,3069,2384,2883,2731,0,527,1172,504,0,587,1
718,1553,3275,1183,3011,2676,3,790,1070,721,0,980,1
1344,1409,3206,1923,2803,2812,0,1702,1019,578,0,676,1
1431,1751,3339,1602,2874,2535,0,467,1123,910,0,1216,1
181,464,3329,381,3052,2665,0,548,1042,995,0,1215,1
1247,1239,3426,583,2710,2626,0,723,918,1036,0,1468,1
1345,1408,3415,1641,2827,2695,0,431,982,952,0,1122,1
1165,1602,3482,0,2823,2472,0,377,993,1033,0,1478,1
1514,1562,3408,749,2751,2603,0,441,947,1042,0,1444,1
793,1509,3521,0,2926,2423,0,335,1099,1047,0,1503,1
1050,1461,3525,181,2876,2458,0,351,1077,1015,0,1513,1
400,869,3489,59,2754,2545,0,298,1102,1107,0,1430,1
669,1314,3522,357,2946,2475,0,320,1087,1069,0,1404,1
1740,2548,3296,1072,2874,2580,0,264,666,956,0,1418,1
1392,1824,3403,879,2664,2551,0,281,1033,1119,0,1503,1
265,1498,3476,0,3000,2459,0,219,854,935,0,1431,1
1285,2410,3392,0,2863,2449,0,241,493,1028,0,1454,1
486,1998,3539,0,3049,2460,0,189,897,864,0,1313,1
342,2000,3543,0,3006,2439,0,210,869,844,1,1328,1
842,2006,3535,0,3058,2494,0,160,941,1056,0,1473,1
594,1927,3537,0,3048,2414,0,177,965,991,0,1467,1
1324,1563,3461,25,2921,2592,0,1405,1004,835,0,1535,1
1102,1873,3520,0,2972,2524,0,138,998,817,0,1479,1
1317,1951,3498,460,2945,2546,0,182,1042,883,0,1564,1
1306,1709,3483,139,2963,2578,0,383,1016,893,0,1556,1
1319,1993,3473,250,2984,2544,0,100,1070,890,0,1564,1
1127,1930,3510,0,3001,2502,0,122,1069,882,0,1571,1
1427,2015,3457,737,2868,2569,0,432,1065,939,0,1587,1
1403,1987,3471,503,2942,2553,0,91,1075,922,0,1574,1
1422,2043,3501,0,2994,2554,1,181,1101,933,0,1595,1
1405,1901,3489,327,2931,2555,0,390,1081,960,0,1582,1
1313,1888,3504,189,2901,2564,0,405,1092,872,0,1543,1
1250,2043,3481,656,2968,2500,0,139,1100,938,0,1550,1
1463,1872,3553,426,2942,2602,0,173,1109,869,0,1486,1
1488,2043,3524,375,2921,2589,0,225,1072,865,0,1563,1
1396,2206,3536,176,2860,2463,0,187,1109,615,0,865,1
1354,2160,3466,966,2969,2445,0,162,812,657,0,817,1
1472,1719,3594,0,2764,2541,0,175,1143,585,0,1075,1
1511,1974,3574,0,2763,2515,0,183,1025,639,0,1025,1
1503,2016,3570,1104,2746,2477,0,172,1176,589,0,687,1
1543,1858,3600,0,2795,2513,0,174,1191,608,0,1086,1
1595,2067,3568,1470,2617,2538,0,184,1114,792,0,950,1
1487,1967,3568,1021,2727,2499,0,185,1159,736,0,927,1
1738,2012,3583,1409,2517,2530,0,187,1190,857,0,1061,1
1734,2033,3565,1292,2490,2560,0,183,1145,758,0,956,1
800,415,3088,2357,2670,2737,0,766,1062,693,0,819,1
1619,2192,3490,1333,2672,2532,0,189,1212,788,0,1043,1
705,0,3067,1600,2960,3061,0,557,863,316,0,462,1
599,369,2863,1235,3068,3030,75,447,793,389,0,691,1
432,0,2998,2194,2867,2878,0,565,922,431,0,615,1
838,16,2814,2163,2928,2967,0,976,861,406,0,617,1
1360,1395,2999,2236,2559,2818,0,366,971,422,0,746,1
1226,640,3071,2352,2585,2847,0,389,920,505,0,650,1
1318,1856,3280,1159,2639,2745,0,409,1003,453,0,637,1
1317,1626,3153,2183,2577,2842,0,390,886,450,0,787,1
725,1937,3370,801,2748,2472,129,491,863,481,0,726,1
464,1973,3338,7,2800,2406,117,444,955,568,0,904,1
1219,1844,3217,1168,3007,2662,11,798,1037,618,0,801,1
1340,1922,3330,1085,2888,2653,124,907,1034,661,752,777,1
1904,1559,3294,1610,2741,2750,0,905,1115,468,0,591,1
